"recipient","agency","subagency","obligation"
"TRAILBOSS ENTERPRISES INC","Department of Defense","Department of the Air Force",75962568.03
"TRAILBOSS ENTERPRISES INC","Department of Homeland Security","Office of the Chief Procurement Officer",49284832.97
"TRAILBOSS THS JV","Department of Defense","Department of the Navy",1750937.09
"TRAILER BRIDGE INC","Department of Defense","Department of the Army",76534863.08
"TRAINING CONNECTION INCORPORATED 6903","Department of Commerce","National Oceanic and Atmospheric Administration",14396692.78
"TRAINING REHABILITATION & DEVELOPMENT INSTITUTE INC","Department of Defense","Department of the Air Force",11790445.58
"TRAINING REHABILITATION & DEVELOPMENT INSTITUTE INC","Department of Defense","Department of the Army",19785996.42
"TRAINING REHABILITATION & DEVELOPMENT INSTITUTE INC","Department of Defense","Department of the Navy",43884558.71
"TRAINING REHABILITATION AND DEVELOPMENT INSTITUTE INCORPORATED","Department of Homeland Security","Office of the Chief Procurement Officer",3261007.06
"TRAINING RESOURCES GROUP INC","Agency for International Development","Agency for International Development",26327071.98
"TRAINING RESOURCES GROUP INC","Department of Agriculture","Forest Service",1614245.33
"TRAJEN FLIGHT SUPPORT LP","Department of Defense","Defense Logistics Agency",1015615837.77
"TRAMMELL CROW SERVICES INCORPORATED","Department of Agriculture","Farm Service Agency",11584000
"TRAMMELL CROW SERVICES INCORPORATED","Department of Agriculture","Office of Procurement and Property Management",4000000
"TRANDES CORPORATION","Department of Defense","Department of the Navy",6258163.79
"TRANE DIV  AMERICAN STANDARD","Department of Defense","Department of the Navy",72529950.69
"TRANE US INC","Department of Defense","Department of the Army",24689808.1
"TRANE US INC","Department of Defense","Department of the Navy",63394209.27
"TRANE US INC","Department of Veterans Affairs","Department of Veterans Affairs",3312904
"TRANE US INC","General Services Administration","Public Buildings Service",13053855.17
"TRANS CANADIAN SUPPLIES FZC","Department of Defense","Department of the Air Force",1434012.56
"TRANS MANAGEMENT SYSTEMS CORPORATION","Department of Health and Human Services","Office of the Assistant Secretary for Administration",36263137.5
"TRANS-MED AMBULANCE INC","Department of Veterans Affairs","Department of Veterans Affairs",1919832
"TRANS-PACIFIC ENGINEERING CORP","Department of Defense","Department of the Army",2634819.85
"TRANS-PACIFIC ENGINEERING CORP","Environmental Protection Agency","Environmental Protection Agency",1028995.08
"TRANSANALYTICS LLC","Department of Transportation","National Highway Traffic Safety Administration",1530910.28
"TRANSAS USA INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3820510.09
"TRANSATLANTIC LINES","Department of Defense","Department of the Army",6963919.02
"TRANSATLANTIC LINES","Department of Defense","Department of the Navy",9237252.38
"TRANSCANADA POWER MARKETING LTD","Department of Justice","Federal Prison System / Bureau of Prisons",1285500
"TRANSCARE ML INC","Department of Veterans Affairs","Department of Veterans Affairs",2268289.74
"TRANSCEND GROUP LLC","Department of the Treasury","Bureau of Engraving and Printing",1108089
"TRANSCENDENCE INC","Department of Education","Department of Education",4631853.16
"TRANSCENDENCE INC","Department of Labor","Office of the Assistant Secretary for Administration and Management",3453502.68
"TRANSCO INDUSTRIES INC","Department of Defense","Department of the Army",8637561
"TRANSCOM INC","Department of Defense","Missile Defense Agency",5500026.04
"TRANSCOR INC","Department of the Interior","Bureau of Indian Affairs and Bureau of Indian Education",2059341.56
"TRANSCORE LIMITED PARTNERSHIP 0334","Department of Homeland Security","Office of the Chief Procurement Officer",1045000
"TRANSCRIPTIONS INC","Department of Veterans Affairs","Department of Veterans Affairs",16221358.69
"TRANSFORMATION ADVISORS GROUP LLC","Department of Defense","Department of the Army",1028216.67
"TRANSFORMATION SYSTEMS INC","Department of Defense","Department of the Navy",4530948
"TRANSFORMATIONAL SECURITY LLC","Department of Defense","Department of the Navy",4501313.74
"TRANSFORMATIONAL SECURITY LLC","Department of Defense","Washington Headquarters Services",1278848.39
"TRANSFORMER SERVICES INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3500735.5
"TRANSGEN ENERGY INC","Department of Health and Human Services","Indian Health Service",1265400
"TRANSHIELD INC","Department of Defense","Defense Logistics Agency",2256723.12
"TRANSIENT ELECTRONICS INC","Department of Defense","Department of the Army",1486590
"TRANSLANG LTD","Department of Defense","Defense Security Cooperation Agency",7731841.22
"TRANSLANG LTD","Department of Defense","Department of the Army",8028479.25
"TRANSLATION SOLUTIONS CORPORAT","Department of Homeland Security","Federal Emergency Management Agency",6785850.59
"TRANSLATIONS INTERNATIONAL INC","Department of State","Department of State",1160870.96
"TRANSLIFT PORT EQUIPMENT SERVICES INC","Department of Defense","Department of the Navy",1327316.5
"TRANSLOGIC CORPORATION","Department of Veterans Affairs","Department of Veterans Affairs",3061803.24
"TRANSMONTAIGNE PARTNERS LP","Department of Defense","Defense Logistics Agency",60939820.45
"TRANSMURAL SYSTEMS LLC","Department of Health and Human Services","National Institutes of Health",3000000
"TRANSNETYX INC","Department of Health and Human Services","National Institutes of Health",6324471.88
"TRANSOURCE SERVICES CORP","Department of Defense","Defense Health Agency",1963554
"TRANSOURCE SERVICES CORP","Department of Defense","Defense Human Resources Activity",4088403
"TRANSOURCE SERVICES CORP","Department of Defense","Department of the Air Force",46689462.38
"TRANSOURCE SERVICES CORP","Department of Defense","Department of the Army",154566046.58
"TRANSOURCE SERVICES CORP","Department of Defense","Department of the Navy",3626859.4
"TRANSOURCE SERVICES CORP","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",7420530.66
"TRANSPERFECT TRANSLATIONS INTERNATIONAL INC","Department of Homeland Security","Federal Emergency Management Agency",1402077.17
"TRANSPERFECT TRANSLATIONS INTERNATIONAL INC","Department of Homeland Security","U.S. Citizenship and Immigration Services",4400893.8
"TRANSPORENT UAB","Department of Defense","Department of the Army",1532948.35
"TRANSPORTATION COMMUNICATION UNION","Department of Labor","Office of Job Corps",5970804
"TRANSPORTATION MANAGEMENT SERVICES INC","Department of Homeland Security","Federal Emergency Management Agency",4239347.11
"TRANSPORTATION RESEARCH CENTER INC","Department of Transportation","National Highway Traffic Safety Administration",56411522.63
"TRANSPORTATION TECHNOLOGY CENTER INC","Department of Homeland Security","Transportation Security Administration",5781327.46
"TRANSPORTES INTERNACIONALES FERRIS SA","Department of Defense","Department of the Navy",2275051.97
"TRANSPRO INC","Department of Veterans Affairs","Department of Veterans Affairs",4693226.14
"TRANSUPPORT INC","Department of Defense","Defense Logistics Agency",2407269.52
"TRANSWORLD SYSTEMS INC","Department of Education","Department of Education",234314127.08
"TRANSYLVANIA VOCATIONAL SERVICES INC","Department of Agriculture","Food and Nutrition Service",10212254.67
"TRANSYSTEMS CORPORATION","Department of Defense","Department of the Air Force",3333140.79
"TRANSYSTEMS CORPORATION","Department of Transportation","Immediate Office of the Secretary of Transportation",3123362.09
"TRAUNER CONSULTING SERVICES INC","Department of Transportation","Federal Highway Administration",1250015.31
"TRAUNER CONSULTING SERVICES INC","Department of Veterans Affairs","Department of Veterans Affairs",1297544.15
"TRAVEL CONCEPTS INC","Department of Health and Human Services","National Institutes of Health",49818319.15
"TRAVIS ASSOCIATION FOR THE BLIND THE","Department of Defense","Defense Logistics Agency",25010527.64
"TRAVIS ASSOCIATION FOR THE BLIND THE","Department of Defense","Department of the Army",18143991.07
"TRAX INTERNATIONAL CORPORATION","Department of Defense","Department of the Army",940240373.2
"TRAX INTERNATIONAL CORPORATION","National Aeronautics and Space Administration","National Aeronautics and Space Administration",473764513.38
"TRC ENVIRONMENTAL CORPORATION","Environmental Protection Agency","Environmental Protection Agency",13465611.89
"TRC GOVERNMENT SERVICES  LLC","Department of Defense","Defense Logistics Agency",74685858.44
"TREADWELL CORPORATION","Department of Defense","Defense Logistics Agency",1474899.39
"TREADWELL CORPORATION","Department of Defense","Department of the Navy",52059597.6
"TRECO SERVICES INC","Department of Homeland Security","Office of the Chief Procurement Officer",6982760.61
"TREEFROG DATA SOLUTIONS INC","Department of Defense","Department of the Air Force",5451085.61
"TREEN BOX & PALLET CORP","Department of Defense","Defense Logistics Agency",2028886.32
"TREIF USA INC","Department of Defense","Defense Logistics Agency",2415955
"TRELLEBORG SEALING SOLUTIONS US INC","Department of Defense","Defense Logistics Agency",1004450.88
"TRELLISWARETECHNOLOGIES INC","Department of Defense","Department of the Army",2414964.25
"TRELLISWARETECHNOLOGIES INC","Department of Defense","Department of the Navy",2212151
"TRELLISWARETECHNOLOGIES INC","Department of Defense","U.S. Special Operations Command",16627495
"TREMONT TECHNOLOGY LLC","Department of Defense","Department of the Army",1729697.42
"TREND CONSTRUCTION INC","Department of Defense","Department of the Army",53820519.86
"TREND CONSTRUCTION INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",1951380.39
"TRENDWAY CORPORATION","Department of Agriculture","Office of the Chief Information Officer",1002390.82
"TRENDWAY CORPORATION","Department of Defense","Department of the Army",1232457.12
"TRENDWAY CORPORATION","Department of Defense","Department of the Navy",5145156.26
"TRENDWAY CORPORATION","Department of Health and Human Services","National Institutes of Health",1158448.65
"TRESCO INC","Department of Defense","Defense Commissary Agency",1907854.75
"TRESCO INC","Department of Defense","Department of the Army",5671379.34
"TREVIICOS SOLETANCHE JV","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",424238798.04
"TREVIICOS SOUTH INC","Department of Defense","Department of the Army",10959905.5
"TREVIICOS SOUTH INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",64690224.6
"TREVINO GROUP INC THE","Department of Transportation","Federal Aviation Administration",1153520.76
"TREVINO GROUP INC THE","Department of Veterans Affairs","Department of Veterans Affairs",7013894.18
"TREVOR L NEWMAN LLC","Department of Transportation","Federal Aviation Administration",4396232.74
"TREX ENTERPRISES CORPORATION","Department of Defense","Defense Advanced Research Projects Agency",36814993
"TREX ENTERPRISES CORPORATION","Department of Defense","Department of the Air Force",2571243
"TREX ENTERPRISES CORPORATION","Department of Defense","Department of the Navy",3050950.39
"TRF ENTERPRISES INC","Department of Veterans Affairs","Department of Veterans Affairs",1200000
"TRGROUP INC","Department of Commerce","National Oceanic and Atmospheric Administration",3224800.91
"TRI ARK INDUSTRIES INC","Department of Defense","Washington Headquarters Services",18800864.95
"TRI MANAGEMENT SOLUTIONS","Department of Defense","Department of the Army",6860563.76
"TRI STAR ENGINEERING INC","Department of Defense","Department of the Navy",118738431.04
"TRI-COR INDUSTRIES INC","Department of Defense","Department of the Air Force",30618291.08
"TRI-COR INDUSTRIES INC","Department of Defense","Department of the Army",5716432.26
"TRI-COR INDUSTRIES INC","Department of Homeland Security","Transportation Security Administration",5136027.31
"TRI-COR INDUSTRIES INC","Department of Homeland Security","U.S. Immigration and Customs Enforcement",8775658.2
"TRI-COUNTY BUILDERS CO INC","Department of Defense","Department of the Army",2608916.12
"TRI-COUNTY BUILDERS CO INC","Department of Defense","Department of the Navy",1551365.88
"TRI-LOGISTICS LLC","Department of Transportation","Federal Aviation Administration",1393567.5
"TRI-STATE BUILDING SERVICE INC","Department of Defense","U.S. Army Corps of Engineers - Civil Program Financing Only",3058577.6
"TRI-STATE GOVERNMENT SERVICES INC","Department of Defense","Defense Logistics Agency",648095275.35
"TRI-STATE HOME MEDICAL LLC","Department of Veterans Affairs","Department of Veterans Affairs",4094390.99
"TRI-STATE TECHNICAL SALES CORPORATION","Department of Defense","Defense Logistics Agency",1183528.86
"TRI-SYSTEMS INC","Department of Veterans Affairs","Department of Veterans Affairs",1416160.02
"TRI-TEC MANUFACTURING LLC","Department of Defense","Department of the Navy",1899577.1
"TRI-TECH","Department of Veterans Affairs","Department of Veterans Affairs",7222185.86
"TRI-TECH FORENSICS INC","Department of Justice","Federal Bureau of Investigation",2045130.75
"TRI-TECHNIC INC","National Aeronautics and Space Administration","National Aeronautics and Space Administration",6814195.83
"TRI-TECHNOLOGIES INC","Department of Defense","Defense Logistics Agency",1789043.62
"TRI-TRONICS LTD","Department of Justice","Federal Bureau of Investigation",1097467.56
"TRIAD CONSULTING GROUP INC","Office of Personnel Management","Office of Personnel Management",25201575.76
"TRIAD ISOTOPES INC","Department of Veterans Affairs","Department of Veterans Affairs",9770159.24
